"","Agapostemon texanus","Allograpta exotica","Bombus californicus","Ceratina dallatorreana","Chrysura pacifica","Diadasia enavata","Eristalis stipator","Eupeodes fumipennis","Eupeodes volucris","Halictus ligatus","Halictus tripartitus","Helophilus latifrons","Lasioglossum (Dialictus) diversopunctatum","Lasioglossum (Dialictus) incompletum","Lasioglossum (Dialictus) tegulare group","Megachile apicalis","Megachile onobrychidis","Melissodes lupina","Paragus haemorrhous","Pieris rapae","Platycheirus stegnus","Scaeva pyrastri","Sphaerophoria sulphuripes","Svastra obliqua expurgata","Toxomerus marginatus","Toxomerus occidentalis"
"Brassica sp.",0,0,0,0,0,0,1,3,1,1,1,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0
"Centaurea solstitialis",0,0,0,5,0,2,0,0,0,5,0,0,0,4,0,3,0,3,0,0,0,0,0,1,0,0
"Convolvulus arvensis",0,1,0,10,0,0,0,3,0,1,15,2,2,23,1,0,1,1,0,1,0,0,1,0,1,0
"Grindelia camporum",0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kickxia elatine",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Malva neglecta",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melilotus alba",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Picris echioides",0,1,0,0,0,0,0,0,0,1,2,1,0,7,0,1,0,0,1,0,0,0,0,0,1,0
"Polygonum lapathifolium",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Raphanus raphanistrum",0,0,2,0,0,0,0,0,0,0,6,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1
"Trifolium pratense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
